ID,Exam,Subjects,Outcomes
1,CA Foundation,Accounting Law Economics Mathematics,CA Path Entry
2,CDS,English General_Knowledge Mathematics,Defence Officer Entry
3,CS Executive,Company_Law Tax Corporate_Accounting,Company Secretary Path
4,GATE CS,Algorithms DBMS OS Networks,PG Engineering and PSU Opportunities
5,IBPS SO IT,Reasoning Quant English IT_Knowledge,Specialist Officer in Banks
6,NIMCET,Mathematics Analytical_Ability Computer_Awareness English,MCA Admissions
7,RRB ALP,Math Reasoning Science Trade_Knowledge,Assistant Loco Pilot
8,SSC JE,General_Intelligence General_Awareness Engineering_Subjects,Junior Engineer Roles
9,State Judicial Service,Constitution Civil_Law Criminal_Law Procedure,Judicial Officer Entry
10,TOEFL,Reading Listening Speaking Writing,English Proficiency for Abroad Studies
